


"Number","UPC","EAN","Description"
"1","504743293757","5591371856370","Description"
"2","921930802808","4992237383609","Description"
"3","563044908684","4098472924163","Description"
"4","912840743998","7207194748598","Description Update"
"5","857185691413","8914485529285","memory foam bed black small 20 x 36 and 2 frame blablabla "
"6","169407713437","5542638264943","black banana"
"7","958281796829","9677500539063","Description"
"8","451788732389","3143669838673","Description"
"9","740326420268","5706972642437","Description"
"10","539425392073","4091136245954","Description"
"11","230633572419","3975190818487","Description"
"12","731940444315","3626353031784","Description"
"13","588283413579","1912327763011","Description"
"14","968924566812","5063429155395","Description"
"15","910947891695","2249542391027","Description"
"16","451806773158","1921562030061","Description"
"17","832632663097","4387166158150","Description"
"18","376732159086","5778068258924","Description"
"19","638212207533","6554630042418","Description"
"20","189289951770","9406408051759","Description"
"21","830379712192","3320546107885","Description"
"22","200969708452","3643396171749","Description"
"23","643050472924","1706045719346","Description"
"24","911140585723","7350148990391","Description"
"25","618458203322","8279314210527","Description"
"26","419477202192","4626051966290","Description"
"27","501322514703","1379655079750","Description"
