CITY,STATE,COUNTRY,NUMBER
Vienna,Austria,Austria,4313117272
Oslo,Norway,Norway,4723960720
LAS VEGAS,NV,USA,7024183336
Hackensack,NJ,USA,12017082764
Washington Zone ,DC,USA,12025526649
Norwalk ,CT,USA,12036631873
Danbury ,CT,USA,12037029147
Winnipeg ,MB,USA,12048095081
Birmingham,AL,USA,12053136995
Seattle ,WA,USA,12062044706
Seattle ,WA,USA,12062091041
Portland ,ME,USA,12072094770
Portland ,ME,USA,12072742071
Boise ,ID,USA,12084737120
Idaho Falls ,ID,USA,12085382305
Modesto ,CA,USA,12096221704
Stockton ,CA,USA,12096231272
Merced ,CA,USA,12096261224
San Antonio ,TX,USA,12102452547
Los Angeles,CA,USA,12132322079
Dallas ,TX,USA,12146134104
Dallas Fort Worth Airport,TX,USA,12146995011
Philadelphia Zone 4,PA,USA,12155546804
Cleveland ,OH,USA,12164525300
Baton Rouge ,LA,USA,12253603496
London,ON,CANADA,12262700906
Akron ,OH,USA,12343521515
Laurel ,MD,USA,12404591238
Pontiac,MI,USA,12484095300
Northville ,MI,USA,12488265016
Fairhope ,AL,USA,12512102668
Tacoma ,WA,USA,12532031641
Des Moines ,WA,USA,12533360012
Huntsville ,AL,USA,12563619922
Lansdale ,PA,USA,12673281656
Philadelphia Zone 1,PA,USA,12676666002
Houston ,TX,USA,12814041362
Kemah ,TX,USA,12816031054
Barker ,TX,USA,12818294179
Hamilton ,ON,CANADA,12897993474
Washington Zone 03 ,MD,USA,13018307867
Dover,DE,USA,13027475483
Brighton ,CO,USA,13032192051
Beckley ,WA,USA,13047122101
CLARKSBURG,WV,USA,13047153215
Keys ,FL,USA,13052034131
Saskatoon ,SK,CANADA,13065000184
SASKATOON,SK,CANADA,13065009386
Regina,CA,USA,13069881979
Santa Monica,CA,USA,13104968285
Malibu ,CA,USA,13105893333
Chicago Zone 01,IL,USA,13122168782
Chicago Zone 01,IL,USA,13124651767
Detroit Zone 01 ,MI,USA,13133093654
Saint Louis ,MO,USA,13142695733
Wichita ,KS,USA,13162850207
Indianapolis ,IN,USA,13175156270
Orlando ,FL,USA,13212060693
Cocoa Beach ,FL,USA,13214062068
Los Angeles,CA,USA,13234983005
Greensboro,NC,USA,13364788644
New York City Zone 03,NY,USA,13475181014
