


"name","client_id","address","telephone","contact","fax",
"mon_st1","34","Our San Francisco HQ is located at 1 Sansome St. 40th Floor, San Francisco, CA 94104.","2274766","Our San Francisco HQ is located at 1 Sansome St. 40th Floor, San Francisco, CA 94104.","345-45-454-0",
"mon_sto2","34","Our San Francisco HQ is located at 1 Sansome St. 40th Floor, San Francisco, CA 94104.","948565765656","Our San Francisco HQ is located at 1 Sansome St. 40th Floor, San Francisco, CA 94104.","345-45-678",
"test_st1","47"," Call Us 1-800-JAWBONE / 1-800-529-2663 Monday - Sunday, 6AM-7PM (Pacific). Partnerships Corporate Sales Click above for Partnerships or ...","34343434"," Call Us 1-800-JAWBONE / 1-800-529-2663 Monday - Sunday, 6AM-7PM (Pacific). Partnerships Corporate Sales Click above for Partnerships or ...","232-323",
"tester","47"," Call Us 1-800-JAWBONE / 1-800-529-2663 Monday - Sunday, 6AM-7PM (Pacific). Partnerships Corporate Sales Click above for Partnerships or ...","2345678987"," Call Us 1-800-JAWBONE / 1-800-529-2663 Monday - Sunday, 6AM-7PM (Pacific). Partnerships Corporate Sales Click above for Partnerships or ...","34-343-4",
"sdffd","34","gffg","564545","fgfg","fggfg",
"Store1","54","surat","7600050527","suratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsuratsurat","3434-34-3434",
"monsou_stores","70","monsou_store","123456","monsou_store","123-456-567",
"store2","70","store2store2","1234567","store2store2store2store2store2store2","store2store2store2",
"Anjou #4","70","2020 du finfin, Anjou, QC, H1V 1VH","1800 Mondou","Bob Lepine","44555555",
"store1","74","udhna,surat","227475656","udhna,surat","567-345-345",
"store2","74","test","904453456","test","345-567-456",
"crm_store1","69","test","22846587","testing","678-456-34",
"crm_store2","69","testing","8763743434","test","678-45-5656",
"jtstore","69","jtstore","334567898","jtstore","345-56-789",
